ESTADO_DEPTO,PER_UBIC
Arauca,350.492248062015504
Guainia,61.647727272727273
SIN DEFINIR,3452.63049853372434
Sucre,848.349112426035503
Magdalena,1064.931528662420382
Risaralda,330.905498281786942
Caqueta,632.43630017452007
Cauca,689.253213367609254
Caldas,370.927480916030534
Norte De Santander,854.887230514096186
Santander,712.858747993579454
Meta,728.52970297029703
Cesar,966.753803596127248
Quindio,175.566801619433198
Putumayo,460.509615384615385
Nariño,835.485448195576252
Valle del Cauca,1204.590697674418605
La Guajira,469.688925081433225
"Archip.De San Andres, Providencia y Santa Catalina",8.21
Bolivar,1090.166446499339498
Boyaca,200.691891891891892
Atlantico,571.241721854304636
Tolima,550.9
Huila,613.882352941176471
Cordoba,899.120171673819742
Choco,588.162123385939742
"Bogota, D.C.",854.214975845410628
Casanare,317.314087759815242
Cundinamarca,533.366666666666667
Vaupes,38.151079136690648
Vichada,52.458677685950413
Guaviare,154.315656565656566
Amazonas,27.669767441860465
Antioquia,3208.351441241685144
