Posicion,Artista,Género,Nacionalidad,Nacimiento,Muerte,Vive?,Obra,Fecha,Alto,Ancho,Profundo,Tipo,Precio,Precio (COP),SalariosMin (COP 2020),AñosSalariosMin,15m(COP),Años 15m
1,Jeff Koons,H,Estados Unidos,1955,,true,Rabbit,1986,104.1,48.3,30.5,3D,91075000,305101250000,347573,28964,20340,1695
2,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Untitled (Pollo Frito),1982,152.4,306.1,,2D,25701500,86100025000,98085,8173,5740,478
3,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Discography Two,1983,168,152.69,,2D,20900000,70015000000,79761,6646,4667,388
4,Christopher Wool,H,Estados Unidos,1955,,true,Untitled,1990,274.3,182.8,,2D,15218750,50982812500,58080,4840,3398,283
5,Kaws,H,Reino Unido,1974,,true,The Kaws Album,2005,101.6,101.6,,2D,14772700,49488545000,56377,4698,3299,274
6,Christopher Wool,H,Estados Unidos,1955,,true,Untitled,,274.3,182.9,,2D,14000000,46900000000,53428,4452,3126,260
7,Jenny Saville,M,Reino Unido,1970,,true,Propped,1992,213.4,182.9,,2D,12490600,41843510000,47668,3972,2789,232
8,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Apex,1986,172.5,218.6,,2D,10815000,36230250000,41273,3439,2415,201
9,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Sabado por la Noche (Saturday Night),1984,195.6,223.5,,2D,10635000,35627250000,40586,3382,2375,197
10,Peter Doig,H,Reino Unido,1959,,true,Buffalo Station I,1997,175.3,269.89,,2D,9903000,33175050000,37793,3149,2211,184
11,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Self Portrait,1983,122,247.9,,2D,9500000,31825000000,36255,3021,2121,176
12,Peter Doig,H,Reino Unido,1959,,true,House of Pictures,2000,194.9,295.3,,2D,9105200,30502420000,34748,2895,2033,169
13,Jean-michel Basquiat,H,Estados Unidos,1960,1988,false,Untitled,1982,182.9,121.9,,2D,8977500,30074625000,34261,2855,2004,167
14,Christopher Wool,H,Estados Unidos,1955,,true,Feet Don’t Fail Me Now,1995,274.3,182.9,,2D,8879400,29745990000,33886,2823,1983,165
15,Mark Bradford,H,Estados Unidos,1961,,true,Helter Skelter II,2007,375.9,1.107,,2D,8475250,28392087500,32344,2695,1892,157
16,Albert Oehlen,H,Alemania,1954,,true,Self-Portrait with Empty Hands,1998,200,144,,2D,7552500,25300875000,28822,2401,1686,140
17,Christopher Wool,H,Estados Unidos,1955,,true,Fuckem,1992,132.1,91.4,,2D,7348500,24617475000,28044,2337,1641,136
18,Kerry James Marshall,H,Estados Unidos,1955,,true,Untitled (Painter),2008,73,62.9,,2D,7325800,24541430000,27957,2329,1636,136
19,Jenny Saville,M,Reino Unido,1970,,true,Juncture,1994,305.1,168.3,,2D,7153300,23963555000,27299,2274,1597,133
20,Mark Grotjahn,H,Estados Unidos,1968,,true,Untitled (Black over Red Orange Mean as a Snake Face 842),2010,257.8,184.2,,2D,7073000,23694550000,26993,2249,1579,131
21,Liu Xiaodong,H,China,1963,,true,Computer Leader,1996,230,180,,2D,6659000,22307650000,25413,2117,1487,123
22,Rudolf Stingel,H,Italia,1956,,true,Untitled,2012,241.3,193,,2D,6517500,21833625000,24873,2072,1455,121
23,Jeff Koons,H,Estados Unidos,1955,,true,Bear and Policeman,1988,215.9,109.2,94,3D,6508500,21803475000,24838,2069,1453,121
24,Adrian Ghenie,H,Rumania,1977,,true,Boogeyman,2010,200,335,,2D,6354300,21286905000,24250,2020,1419,118
25,Leng Jun,H,China,1963,,true,View of the world No.3,1995,105,199.5,,2D,6330000,21205500000,24157,2013,1413,117
26,Zhou Chunya,H,China,1955,,true,Chinese Landscape,1993,194,130.5,,2D,6142500,20577375000,23441,1953,1371,114
27,Kaws,H,Reino Unido,1974,,true,The Walk Home,2012,173,219.1,,2D,5955000,19949250000,22726,1893,1329,110
28,Peter Doig,H,Reino Unido,1959,,true,Buffalo Station II,1997,175.3,269.89,,2D,5910700,19800845000,22557,1879,1320,110
29,Christopher Wool,H,Estados Unidos,1955,,true,Untitled,,198.1,152.4,,2D,5788150,19390302500,22089,1840,1292,107
30,Adrian Ghenie,H,Rumania,1977,,true,Duchamp’s Funeral I,2009,200,300,,2D,5649900,18927165000,21561,1796,1261,105
31,Julie Mehretu,M,Estados Unidos,1970,,true,Black Ground (Deep Light),2006,182.9,243.8,,2D,5631700,18866195000,21492,1791,1257,104
32,Cecily Brown,M,Reino Unido,1969,,true,The Pyjama Game,1997,193,248,,2D,5615300,18811255000,21429,1785,1254,104
33,Keith Haring,H,Estados Unidos,1958,1990,false,Silence = Death,1988,274.3,304.8,,2D,5609500,18791825000,21407,1783,1252,104
34,Richard Prince,H,Estados Unidos,1949,,true,Island Nurse,2002,177.8,121.9,,2D,5487500,18383125000,20942,1745,1225,102
35,Christopher Wool,H,Estados Unidos,1955,,true,Untitled,2006,243.8,182.9,,2D,5311500,17793525000,20270,1689,1186,98
36,Jenny Saville,M,Reino Unido,1970,,true,Shadow Head,2007,269.2,219.7,,2D,5311500,17793525000,20270,1689,1186,98
37,Thomas Schütte,H,Alemania,1954,,true,Grosser Geist Nr. 13,,250.8,158.1,88.9,3D,5275600,17673260000,20133,1677,1178,98
38,Zeng Fanzhi,H,China,1964,,true,Meat No. 3：Nativity,1992,179.5,167,,2D,5146470,17240674500,19640,1636,1149,95
39,Keith Haring,H,Estados Unidos,1958,1990,false,Untitled,1984,152.4,152.4,,2D,5134200,17199570000,19593,1632,1146,95
40,Martin Kippenberger,H,Alemania,1953,1997,false,Ohne Titel (Meine Lügen sind ehrliche),1992,198.7,239.2,,2D,5047900,16910465000,19264,1605,1127,93
41,Takashi Murakami,H,Japón,1962,,true,Tan Tan Bo,2001,360,540,,2D,5037500,16875625000,19224,1602,1125,93
42,Christopher Wool,H,Estados Unidos,1955,,true,Untitled (P271),1997,274.3,182.9,,2D,5021200,16821020000,19162,1596,1121,93
